Swimming Distance       Time fg (hours) Time cs (hours)
1	7			2.26739		2.55035
2	19			3.57959		4.70089
3	9			2.48609		2.90877
4	11			2.70479		3.2672
5	17			3.36089		4.34246
6	18			3.47024		4.52168
7	12			2.81414		3.44641
8	19			3.57959		4.70089
9	3			1.83		1.8335
10	8			2.37674		2.72956
11	6			2.15804		2.37114
12	17			3.36089		4.34246
13	5			2.04869		2.19193
14	16			3.25154		4.16325
15	14			3.03284		3.80483
16	9			2.48609		2.90877
17	7			2.26739		2.55035
18	14			3.03284		3.80483
19	6			2.15804		2.37114
20	8			2.37674		2.72956
21	11			2.70479		3.2672
22	12			2.81414		3.44641
23	9			2.48609		2.90877
24	2			1.72065		1.65429
25	8			2.37674		2.72956
26	5			2.04869		2.19193
27	3			1.83		1.8335
28	12			2.81414		3.44641
29	8			2.37674		2.72956
30	4			1.93935		2.01272
31	11			2.70479		3.2672
32	17			3.36089		4.34246
33	2			1.72065		1.65429
34	12			2.81414		3.44641
35	14			3.03284		3.80483
36	20			3.68894		4.8801
37	11			2.70479		3.2672
38	14			3.03284		3.80483
39	7			2.26739		2.55035
40	18			3.47024		4.52168
41	10			2.59544		3.08798
42	8			2.37674		2.72956
43	6			2.15804		2.37114
44	15			3.14219		3.98404
45	19			3.57959		4.70089
46	5			2.04869		2.19193
47	17			3.36089		4.34246
48	6			2.15804		2.37114
49	2			1.72065		1.65429
50	1			1.6113		1.47508
51	4			1.93935		2.01272
52	8			2.37674		2.72956
53	19			3.57959		4.70089
54	15			3.14219		3.98404
55	3			1.83		1.8335
56	13			2.92349		3.62562
57	15			3.14219		3.98404
58	12			2.81414		3.44641
59	14			3.03284		3.80483
60	19			3.57959		4.70089
61	16			3.25154		4.16325
62	13			2.92349		3.62562
63	19			3.57959		4.70089
64	19			3.57959		4.70089
65	2			1.72065		1.65429
66	4			1.93935		2.01272
67	4			1.93935		2.01272
68	13			2.92349		3.62562
69	11			2.70479		3.2672
70	14			3.03284		3.80483
71	19			3.57959		4.70089
72	2			1.72065		1.65429
73	20			3.68894		4.8801
74	17			3.36089		4.34246
75	10			2.59544		3.08798
76	20			3.68894		4.8801
77	4			1.93935		2.01272
78	20			3.68894		4.8801
79	8			2.37674		2.72956
80	10			2.59544		3.08798
81	5			2.04869		2.19193
82	3			1.83		1.8335
83	15			3.14219		3.98404
84	13			2.92349		3.62562
85	8			2.37674		2.72956
86	14			3.03284		3.80483
87	12			2.81414		3.44641
88	10			2.59544		3.08798
89	18			3.47024		4.52168
90	4			1.93935		2.01272
91	7			2.26739		2.55035
92	4			1.93935		2.01272
93	8			2.37674		2.72956
94	8			2.37674		2.72956
95	12			2.81414		3.44641
96	17			3.36089		4.34246
97	2			1.72065		1.65429
98	10			2.59544		3.08798
99	6			2.15804		2.37114
100	8			2.37674		2.72956
101	4			1.93935		2.01272
102	2			1.72065		1.65429
103	14			3.03284		3.80483
104	17			3.36089		4.34246
105	1			1.6113		1.47508
106	17			3.36089		4.34246
107	20			3.68894		4.8801
108	8			2.37674		2.72956
109	13			2.92349		3.62562
110	17			3.36089		4.34246
111	3			1.83		1.8335
112	3			1.83		1.8335
113	8			2.37674		2.72956
114	7			2.26739		2.55035
115	7			2.26739		2.55035
116	19			3.57959		4.70089
117	15			3.14219		3.98404
118	8			2.37674		2.72956
119	14			3.03284		3.80483
120	17			3.36089		4.34246
121	15			3.14219		3.98404
122	19			3.57959		4.70089
123	16			3.25154		4.16325
124	9			2.48609		2.90877
125	15			3.14219		3.98404
126	12			2.81414		3.44641
127	8			2.37674		2.72956
128	2			1.72065		1.65429
129	7			2.26739		2.55035
130	10			2.59544		3.08798
131	18			3.47024		4.52168
132	3			1.83		1.8335
133	15			3.14219		3.98404
134	12			2.81414		3.44641
135	19			3.57959		4.70089
136	1			1.6113		1.47508
137	20			3.68894		4.8801
138	15			3.14219		3.98404
139	17			3.36089		4.34246
140	19			3.57959		4.70089
141	5			2.04869		2.19193
142	3			1.83		1.8335
143	19			3.57959		4.70089
144	19			3.57959		4.70089
145	4			1.93935		2.01272
146	18			3.47024		4.52168
147	4			1.93935		2.01272
148	10			2.59544		3.08798
149	15			3.14219		3.98404
150	5			2.04869		2.19193
151	15			3.14219		3.98404
152	13			2.92349		3.62562
153	2			1.72065		1.65429
154	20			3.68894		4.8801
155	4			1.93935		2.01272
156	20			3.68894		4.8801
157	2			1.72065		1.65429
158	1			1.6113		1.47508
159	9			2.48609		2.90877
160	3			1.83		1.8335
161	16			3.25154		4.16325
162	20			3.68894		4.8801
163	15			3.14219		3.98404
164	3			1.83		1.8335
165	11			2.70479		3.2672
166	14			3.03284		3.80483
167	5			2.04869		2.19193
168	16			3.25154		4.16325
169	2			1.72065		1.65429
170	16			3.25154		4.16325
171	5			2.04869		2.19193
172	17			3.36089		4.34246
173	9			2.48609		2.90877
174	14			3.03284		3.80483
175	14			3.03284		3.80483
176	19			3.57959		4.70089
177	9			2.48609		2.90877
178	18			3.47024		4.52168
179	19			3.57959		4.70089
180	1			1.6113		1.47508
181	9			2.48609		2.90877
182	9			2.48609		2.90877
183	6			2.15804		2.37114
184	15			3.14219		3.98404
185	8			2.37674		2.72956
186	20			3.68894		4.8801
187	15			3.14219		3.98404
188	10			2.59544		3.08798
189	9			2.48609		2.90877
190	4			1.93935		2.01272
191	5			2.04869		2.19193
192	12			2.81414		3.44641
193	6			2.15804		2.37114
194	13			2.92349		3.62562
195	5			2.04869		2.19193
196	20			3.68894		4.8801
197	20			3.68894		4.8801
198	19			3.57959		4.70089
199	6			2.15804		2.37114
200	8			2.37674		2.72956
201	14			3.03284		3.80483
202	10			2.59544		3.08798
203	1			1.6113		1.47508
204	13			2.92349		3.62562
205	4			1.93935		2.01272
206	6			2.15804		2.37114
207	6			2.15804		2.37114
208	7			2.26739		2.55035
209	2			1.72065		1.65429
210	6			2.15804		2.37114
211	14			3.03284		3.80483
212	5			2.04869		2.19193
213	1			1.6113		1.47508
214	17			3.36089		4.34246
215	11			2.70479		3.2672
216	7			2.26739		2.55035
217	4			1.93935		2.01272
218	5			2.04869		2.19193
219	4			1.93935		2.01272
220	11			2.70479		3.2672
221	7			2.26739		2.55035
222	4			1.93935		2.01272
223	10			2.59544		3.08798
224	8			2.37674		2.72956
225	5			2.04869		2.19193
226	12			2.81414		3.44641
227	4			1.93935		2.01272
228	18			3.47024		4.52168
229	12			2.81414		3.44641
230	4			1.93935		2.01272
231	5			2.04869		2.19193
232	6			2.15804		2.37114
